Ammattiluokitus 2010 / Ammattiluokitus 2001
(sarkaineroteltu tekstitiedosto)

koodi-1	taso-1	nimike-1	koodi-2	taso-2	nimike-2	osuus
0	1	Sotilaat	0	1	Sotilaat	0
01	2	Upseerit	01	2	Sotilaat	0
011	3	Upseerit	011	3	Sotilaat	0
0110	4	Upseerit	0110	4	Sotilaat	0
0110	4	Upseerit	01101*	5	Upseerit	1
0110	4	Upseerit	01102	5	Erikoisupseerit	2
0110	4	Upseerit	01103	5	Opistoupseerit	2
02	2	Aliupseerit	01	2	Sotilaat	0
021	3	Aliupseerit	011	3	Sotilaat	0
0210	4	Aliupseerit	0110	4	Sotilaat	0
0210	4	Aliupseerit	01103	5	Opistoupseerit	0
03	2	Sotilasammattihenkilöstö	01	2	Sotilaat	0
031	3	Sotilasammattihenkilöstö	011	3	Sotilaat	0
0310	4	Sotilasammattihenkilöstö	0110	4	Sotilaat	0
0310	4	Sotilasammattihenkilöstö	01103	5	Opistoupseerit	2
0310	4	Sotilasammattihenkilöstö	01104	5	Sotilasammattihenkilöstö	2
0310	4	Sotilasammattihenkilöstö	01105*	5	Varusmiehet	1
1	1	Johtajat	1*	1	Johtajat ja ylimmät virkamiehet	1
1	1	Johtajat	3	1	Asiantuntijat	2
11	2	Johtajat, ylimmät virkamiehet ja järjestöjen johtajat	11*	2	Ylimmät virkamiehet ja järjestöjen johtajat	1
11	2	Johtajat, ylimmät virkamiehet ja järjestöjen johtajat	12	2	Yritysten ja muiden toimintayksiköiden johtajat	2
111	3	Ylimmät virkamiehet ja järjestöjen johtajat	111*	3	Ylimmät virkamiehet	1
111	3	Ylimmät virkamiehet ja järjestöjen johtajat	114	3	Järjestöjen johtajat	2
111	3	Ylimmät virkamiehet ja järjestöjen johtajat	121	3	Pääjohtajat ja toimitusjohtajat	2
111	3	Ylimmät virkamiehet ja järjestöjen johtajat	123	3	Asiantuntijajohtajat	2
1111	4	Lainsäätäjät	1110	4	Ylimmät virkamiehet	0
1111	4	Lainsäätäjät	11101*	5	Valtion keskushallinnon johtajat	1
1111	4	Lainsäätäjät	11102	5	Valtion piiri- ja paikallishallinnon johtajat	2
1111	4	Lainsäätäjät	11103	5	Kuntien ja kaupunkien johtajat	2
1112	4	Julkishallinnon ylimmät virkamiehet	1110*	4	Ylimmät virkamiehet	1
1112	4	Julkishallinnon ylimmät virkamiehet	1210	4	Pääjohtajat ja toimitusjohtajat	2
1112	4	Julkishallinnon ylimmät virkamiehet	1239	4	Muut asiantuntijajohtajat	2
11121	5	Valtion keskushallinnon johtajat	11101	5	Valtion keskushallinnon johtajat	0
11122	5	Alue- ja paikallishallinnon johtajat ja ylimmät virkamiehet	11102	5	Valtion piiri- ja paikallishallinnon johtajat	2
11122	5	Alue- ja paikallishallinnon johtajat ja ylimmät virkamiehet	11103*	5	Kuntien ja kaupunkien johtajat	1
11122	5	Alue- ja paikallishallinnon johtajat ja ylimmät virkamiehet	1210	4	Pääjohtajat ja toimitusjohtajat	2
11122	5	Alue- ja paikallishallinnon johtajat ja ylimmät virkamiehet	1239	4	Muut asiantuntijajohtajat	2
1114	4	Järjestöjen johtajat	1141	4	Puolueiden johtajat	2
1114	4	Järjestöjen johtajat	1142	4	Työmarkkina- ja elinkeinoelämän järjestöjen johtajat	2
1114	4	Järjestöjen johtajat	1143*	4	Muiden järjestöjen johtajat	1
11141	5	Työmarkkina- ja elinkeinoelämän järjestöjen johtajat	1142	4	Työmarkkina- ja elinkeinoelämän järjestöjen johtajat	0
11142	5	Muiden järjestöjen johtajat	1141	4	Puolueiden johtajat	2
11142	5	Muiden järjestöjen johtajat	1143*	4	Muiden järjestöjen johtajat	1
112	3	Toimitusjohtajat ja pääjohtajat	121	3	Pääjohtajat ja toimitusjohtajat	0
1120	4	Toimitusjohtajat ja pääjohtajat	1210	4	Pääjohtajat ja toimitusjohtajat	0
12	2	Hallintojohtajat ja kaupalliset johtajat	12*	2	Yritysten ja muiden toimintayksiköiden johtajat	1
12	2	Hallintojohtajat ja kaupalliset johtajat	13	2	Pienyritysten johtajat	2
121	3	Liiketoiminta- ja hallintojohtajat	122	3	Tuotanto- ja linjajohtajat	2
121	3	Liiketoiminta- ja hallintojohtajat	123*	3	Asiantuntijajohtajat	1
121	3	Liiketoiminta- ja hallintojohtajat	131	3	Pienyritysten johtajat	2
1211	4	Talousjohtajat	1231	4	Talous- ja hallintojohtajat	0
1212	4	Henkilöstöjohtajat	1232	4	Henkilöstöjohtajat	0
1213	4	Politiikka- ja suunnittelujohtajat	1231	4	Talous- ja hallintojohtajat	2
1213	4	Politiikka- ja suunnittelujohtajat	1239*	4	Muut asiantuntijajohtajat	1
1219	4	Muut hallintojohtajat ja kaupalliset johtajat	1227	4	Yrityspalvelu- ym. yritysten johtajat	2
1219	4	Muut hallintojohtajat ja kaupalliset johtajat	1228	4	Siivous- ja kauneudenhoitoalan ym. alojen johtajat	2
1219	4	Muut hallintojohtajat ja kaupalliset johtajat	1231*	4	Talous- ja hallintojohtajat	1
1219	4	Muut hallintojohtajat ja kaupalliset johtajat	1239	4	Muut asiantuntijajohtajat	2
1219	4	Muut hallintojohtajat ja kaupalliset johtajat	1317	4	Yrityspalvelutoiminnan pienyritysten johtajat	2
1219	4	Muut hallintojohtajat ja kaupalliset johtajat	1318	4	Siivous- ja kauneudenhoitoalan ym. pienyritysten johtajat	2
1219	4	Muut hallintojohtajat ja kaupalliset johtajat	1319	4	Muut pienyritysten johtajat	2
122	3	Myynti-, markkinointi- ja kehitysjohtajat	123	3	Asiantuntijajohtajat	0
1221	4	Myynti- ja markkinointijohtajat	1233	4	Myynti- ja markkinointijohtajat	0
1222	4	Mainos- ja tiedotusjohtajat	1234	4	Mainos- ja tiedotusjohtajat	0
1223	4	Tutkimus- ja kehitysjohtajat	1237	4	Tutkimus- ja kehitysjohtajat	0
13	2	Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat	12*	2	Yritysten ja muiden toimintayksiköiden johtajat	1
13	2	Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat	13	2	Pienyritysten johtajat	2
13	2	Tuotantotoiminnan ja yhteiskunnan peruspalvelujen johtajat	34	2	Liikealan ja muiden palvelualojen asiantuntijat	2
131	3	Maa-, metsä- ja kalatalouden johtajat	122*	3	Tuotanto- ja linjajohtajat	1
131	3	Maa-, metsä- ja kalatalouden johtajat	131	3	Pienyritysten johtajat	2
1311	4	Maa- ja metsätalouden johtajat	1221*	4	Maa- ja metsätalouden johtajat	1
1311	4	Maa- ja metsätalouden johtajat	1311	4	Maa- ja metsätalousalan pienyritysten johtajat	2
1312	4	Vesiviljely- ja kalatalouden johtajat	1221	4	Maa- ja metsätalouden johtajat	0
132	3	Teollisuuden tuotantojohtajat sekä kaivos-, rakennus- ja jakelujohtajat	122*	3	Tuotanto- ja linjajohtajat	1
132	3	Teollisuuden tuotantojohtajat sekä kaivos-, rakennus- ja jakelujohtajat	123	3	Asiantuntijajohtajat	2
132	3	Teollisuuden tuotantojohtajat sekä kaivos-, rakennus- ja jakelujohtajat	131	3	Pienyritysten johtajat	2
1321	4	Teollisuuden tuotantojohtajat	1222*	4	Teollisuuden tuotantojohtajat	1
1321	4	Teollisuuden tuotantojohtajat	1312	4	Pienteollisuuden johtajat	2
1322	4	Kaivostoiminnan tuotantojohtajat	1222	4	Teollisuuden tuotantojohtajat	0
1323	4	Rakennustoiminnan tuotantojohtajat	1223*	4	Rakennusalan tuotantojohtajat	1
1323	4	Rakennustoiminnan tuotantojohtajat	1313	4	Rakennusalan pienyritysten johtajat	2
1324	4	Hankinta- ja jakelujohtajat	1226	4	Kuljetuksen, varastoinnin ja tietoliikenteen johtajat	2
1324	4	Hankinta- ja jakelujohtajat	12269	5	Muut kuljetuksen, varastoinnin ja tietoliikenteen johtajat	2
1324	4	Hankinta- ja jakelujohtajat	1235*	4	Osto- ja varastopäälliköt	1
1324	4	Hankinta- ja jakelujohtajat	1316	4	Kuljetuksen, varastoinnin ja tietoliikenteen pienyritysten johtajat	2
133	3	Tieto- ja viestintäteknologiajohtajat	122	3	Tuotanto- ja linjajohtajat	2
133	3	Tieto- ja viestintäteknologiajohtajat	123*	3	Asiantuntijajohtajat	1
133	3	Tieto- ja viestintäteknologiajohtajat	131	3	Pienyritysten johtajat	2
1330	4	Tieto- ja viestintäteknologiajohtajat	1226	4	Kuljetuksen, varastoinnin ja tietoliikenteen johtajat	2
1330	4	Tieto- ja viestintäteknologiajohtajat	12269	5	Muut kuljetuksen, varastoinnin ja tietoliikenteen johtajat	2
1330	4	Tieto- ja viestintäteknologiajohtajat	1236*	4	Tietotekniikkajohtajat	1
1330	4	Tieto- ja viestintäteknologiajohtajat	1316	4	Kuljetuksen, varastoinnin ja tietoliikenteen pienyritysten johtajat	2
134	3	Yhteiskunnan peruspalvelujen sekä rahoitus- ja vakuutuspalvelujen johtajat	122*	3	Tuotanto- ja linjajohtajat	1
134	3	Yhteiskunnan peruspalvelujen sekä rahoitus- ja vakuutuspalvelujen johtajat	123	3	Asiantuntijajohtajat	2
134	3	Yhteiskunnan peruspalvelujen sekä rahoitus- ja vakuutuspalvelujen johtajat	131	3	Pienyritysten johtajat	2
134	3	Yhteiskunnan peruspalvelujen sekä rahoitus- ja vakuutuspalvelujen johtajat	341	3	Myynnin ja rahoituksen asiantuntijat	2
1341	4	Lastenhoidon johtajat	1229	4	Muiden yritysten ja toimintayksiköiden johtajat	0
1341	4	Lastenhoidon johtajat	12292	5	Sosiaali- ja terveydenhuoltoalan johtajat	0
1342	4	Terveydenhuollon johtajat	1229	4	Muiden yritysten ja toimintayksiköiden johtajat	0
1342	4	Terveydenhuollon johtajat	12292	5	Sosiaali- ja terveydenhuoltoalan johtajat	0
1343	4	Vanhustenhuollon johtajat	1229	4	Muiden yritysten ja toimintayksiköiden johtajat	0
1343	4	Vanhustenhuollon johtajat	12292	5	Sosiaali- ja terveydenhuoltoalan johtajat	0
1344	4	Sosiaalihuollon johtajat	1229	4	Muiden yritysten ja toimintayksiköiden johtajat	0
1344	4	Sosiaalihuollon johtajat	12292	5	Sosiaali- ja terveydenhuoltoalan johtajat	0
1345	4	Opetusalan johtajat	1229	4	Muiden yritysten ja toimintayksiköiden johtajat	0
1345	4	Opetusalan johtajat	12291	5	Opetusalan johtajat ja rehtorit	0
